Server Name,Signature Algorithm,Delay,Lat,Lon,Speed (kph),Distance (m)
Ottawa Edge,Dilithium3,969.729,45.315827783,-75.758384244,7.217,274.389
Ottawa Edge,Dilithium3,976.658,45.317760841,-75.756682247,3.548,132.806
Toronto Edge,Dilithium3,0.316,45.315253732,-75.757978031,6.919,338.244
Toronto Edge,Dilithium3,994.162,45.316776188,-75.7580065,3.281,169.271
Ottawa Edge,Dilithium3,987.51,45.315305828,-75.758138722,3.608,332.045
Ottawa Edge,Dilithium3,994.021,45.316875081,-75.757044331,4.009,181.747
Georges Home,Dilithium3,3.726,45.316808766,-75.758003174,3.451,165.688
Ottawa Edge,Dilithium3,999.516,45.315744709,-75.757459742,3.633,289.1
Ottawa Edge,Dilithium3,962.624,45.315776066,-75.758433876,12.188,280.358
Georges Home,Dilithium3,972.51,45.316732521,-75.757091207,7.731,193.973
Ottawa Edge,Dilithium3,982.904,45.315560065,-75.757534664,3.834,308.185
Toronto Edge,Dilithium3,975.498,45.31697506,-75.757943939,7.811,147.851
Ottawa Edge,Dilithium3,994.596,45.317170775,-75.756925666,3.553,159.762
Georges Home,Dilithium3,955.597,45.317961923,-75.757049571,7.976,97.329
Ottawa Edge,Dilithium3,975.938,45.317450899,-75.757768991,9.389,99.49
Georges Home,Dilithium3,995.723,45.315269061,-75.757739848,3.629,338.018
Toronto Edge,Dilithium3,959.143,45.317186229,-75.75689153,15.038,160.124
Toronto Edge,Dilithium3,5.772,45.315970211,-75.757403265,3.457,265.599
Georges Home,Dilithium3,957.495,45.315285178,-75.75807378,8.218,334.45
Georges Home,Dilithium3,978.592,45.316370889,-75.758178118,7.555,213.649
Georges Home,Dilithium3,986.531,45.315888849,-75.758356196,3.457,267.501
Georges Home,Dilithium3,977.747,45.317889363,-75.756728175,2.883,123.725
Toronto Edge,Dilithium3,994.506,45.317490077,-75.756791501,3.293,141.916
Ottawa Edge,Dilithium3,6.428,45.31675125,-75.757084931,3.309,192.337
