Server Name,Signature Algorithm,Delay,Lat,Lon,Speed (kph),Distance (m)
Georges Home,Rainbow-I-Classic,3.159,45.315353075,-75.758460105,3.09,327.403
Georges Home,Dilithium3,2.323,45.315409482,-75.758497,3.481,321.345
Georges Home,Dilithium2,3.108,45.316719993,-75.757094344,3.468,195.11
Georges Home,Dilithium3,974.605,45.315516285,-75.758478176,7.006,309.399
Ottawa Edge,Rainbow-I-Classic,999.914,45.316893566,-75.757962764,3.196,156.649
Toronto Edge,Dilithium2,997.065,45.315974844,-75.758318736,3.56,257.831
Georges Home,Dilithium2,997.69,45.315970211,-75.757403265,3.457,265.599
Ottawa Edge,Dilithium5,2.738,45.317949967,-75.757569129,0.0,62.381
Ottawa Edge,Dilithium2,986.51,45.31537681,-75.758447745,2.904,324.711
Georges Home,Dilithium3,9.422,45.317024793,-75.757921976,3.735,142.629
Georges Home,Dilithium3,968.314,45.317192556,-75.75689153,8.713,159.585
Toronto Edge,Dilithium5,992.512,45.316923366,-75.757013143,3.457,178.376
Ottawa Edge,Dilithium2,998.023,45.315258548,-75.758067694,3.189,337.423
Toronto Edge,Dilithium2,996.012,45.316327097,-75.757259693,3.293,230.579
Georges Home,Dilithium2,986.957,45.316687013,-75.758068684,8.889,178.8
Georges Home,Dilithium2,993.239,45.316115704,-75.758256365,3.105,242.046
Toronto Edge,Dilithium3,957.362,45.318053527,-75.757472996,4.989,62.823
Ottawa Edge,Dilithium3,973.907,45.316308249,-75.758193805,7.276,220.605
Ottawa Edge,Rainbow-I-Classic,1.0,45.317945992,-75.75682079,2.338,114.72
Georges Home,Dilithium3,994.992,45.318029665,-75.7572813,3.441,77.661
Georges Home,Rainbow-I-Classic,7.05,45.317121869,-75.757872153,4.009,132.674
Georges Home,Dilithium5,998.198,45.315747857,-75.757484464,3.728,288.375
Ottawa Edge,Dilithium3,988.991,45.315264718,-75.757913089,3.785,337.324
Georges Home,Dilithium5,5.545,45.316776305,-75.757078656,3.3,190.087
Ottawa Edge,Rainbow-I-Classic,981.885,45.31803933,-75.757411189,3.366,67.884
Georges Home,Dilithium5,976.926,45.317955436,-75.756894958,3.457,108.894
Toronto Edge,Dilithium5,8.591,45.317145719,-75.756931942,3.728,161.643
Ottawa Edge,Dilithium3,984.081,45.315275862,-75.758002753,3.557,335.694
Toronto Edge,Rainbow-I-Classic,70.715,45.315802595,-75.757456415,8.083,282.854
Toronto Edge,Dilithium3,8.702,45.317949967,-75.757569129,0.0,62.381
Ottawa Edge,Dilithium5,982.24,45.317133317,-75.756938217,3.735,162.433
Toronto Edge,Dilithium3,964.641,45.315765012,-75.757465828,13.776,286.794
Ottawa Edge,Dilithium5,996.592,45.31638817,-75.758162619,3.384,211.741
Ottawa Edge,Rainbow-I-Classic,992.928,45.315284641,-75.757708852,3.574,336.565
Toronto Edge,Dilithium2,983.869,45.31796806,-75.756944404,3.335,104.771
Georges Home,Dilithium5,15.614,45.315803921,-75.758393467,3.19,277.076
Toronto Edge,Rainbow-I-Classic,4.845,45.318004355,-75.757080379,2.675,93.373
Ottawa Edge,Dilithium2,33.826,45.315655287,-75.758446614,3.725,293.818
Georges Home,Dilithium2,990.541,45.31638817,-75.758162619,3.384,211.741
Georges Home,Dilithium5,18.179,45.316327224,-75.757262831,3.659,230.487
Toronto Edge,Dilithium5,995.334,45.316696393,-75.758040824,3.735,177.898
Georges Home,Dilithium5,982.358,45.315735461,-75.758421704,3.575,284.801
Toronto Edge,Dilithium2,969.141,45.315775966,-75.757450329,8.258,285.848
Georges Home,Dilithium2,997.05,45.317228293,-75.757843915,3.901,121.577
Georges Home,Rainbow-I-Classic,3.473,45.316075061,-75.757362666,3.105,255.086
Ottawa Edge,Dilithium3,989.441,45.317023472,-75.75791589,3.196,142.847
Ottawa Edge,Dilithium3,993.11,45.31704707,-75.756969405,3.633,168.731
Ottawa Edge,Rainbow-I-Classic,977.061,45.316568061,-75.758100059,7.907,191.885
Georges Home,Dilithium5,2.082,45.317949967,-75.757569129,0.0,62.381
Toronto Edge,Dilithium5,172.279,45.317983831,-75.757018572,3.434,98.709
Toronto Edge,Dilithium3,993.841,45.315264718,-75.757913089,3.785,337.324
Georges Home,Dilithium5,1.338,45.315722801,-75.757490739,3.377,291.013
Toronto Edge,Dilithium3,3.682,45.316808766,-75.758003174,3.451,165.688
Ottawa Edge,Dilithium3,963.269,45.317206784,-75.756903892,8.095,157.75
Toronto Edge,Rainbow-I-Classic,997.492,45.315284641,-75.757708852,3.574,336.565
Ottawa Edge,Dilithium5,998.932,45.31569287,-75.758437202,3.725,289.601
Ottawa Edge,Dilithium2,3.322,45.317949967,-75.757569129,0.0,62.381
Toronto Edge,Dilithium3,965.443,45.317955627,-75.757000125,6.593,101.186
Georges Home,Dilithium3,996.282,45.316276993,-75.758203217,3.196,224.079
Georges Home,Dilithium5,981.135,45.317959599,-75.757547544,1.718,63.094
Ottawa Edge,Dilithium5,4.182,45.31575381,-75.758406017,3.196,282.692
